R	3.2123	1.5874	0.8358	1477010443700000	-0.0712	3.3950	-0.2028	0.9792
R	4.8765	1.6124	1.1286	1477010444500000	-0.3356	4.1478	-0.4399	0.8980
R	4.8332	1.6906	0.5786	1477010445300000	-0.7789	4.8112	-0.6494	0.7604
R	5.7732	1.8390	0.7950	1477010446100000	-1.3732	5.3436	-0.8181	0.5750
R	5.7633	1.9335	1.0579	1477010446900000	-2.0813	5.7114	-0.9354	0.3535
R	6.5836	2.0586	0.7126	1477010447700000	-2.8586	5.8916	-0.9940	0.1097
R	6.6105	2.0888	0.6971	1477010448500000	-3.6563	5.8728	-0.9900	-0.1409
R	6.7625	2.2597	0.1768	1477010449300000	-4.4242	5.6562	-0.9239	-0.3827
R	7.3096	2.2966	0.0834	1477010450100000	-5.1142	5.2554	-0.7997	-0.6004
R	7.4348	2.4655	0.1405	1477010450900000	-5.6828	4.6957	-0.6253	-0.7804
R	7.3164	2.4888	-0.0817	1477010451700000	-6.0944	4.0121	-0.4115	-0.9114
R	6.9089	2.6170	-0.0170	1477010452500000	-6.3230	3.2476	-0.1719	-0.9851
R	6.8134	2.7627	-0.2827	1477010453300000	-6.3543	2.4503	0.0784	-0.9969
R	6.2957	2.8402	-0.4697	1477010454100000	-6.1864	1.6703	0.3239	-0.9461
R	6.7330	2.9298	-0.8992	1477010454900000	-5.8297	0.9566	0.5490	-0.8358
R	5.5408	3.1191	-0.6602	1477010455700000	-5.3068	0.3539	0.7396	-0.6730
R	4.8713	-3.1591	-1.0544	1477010456500000	-4.6504	-0.0997	0.8838	-0.4680
R	4.2582	-3.0463	-0.4583	1477010457300000	-3.9018	-0.3759	0.9724	-0.2335
R	2.9760	-3.0027	-0.3117	1477010458100000	-3.1080	-0.4572	0.9999	0.0157
R	1.7410	-2.9966	-1.4437	1477010458900000	-2.3190	-0.3386	0.9646	0.2638
R	1.6405	-3.1421	-0.3329	1477010459700000	-1.5843	-0.0275	0.8686	0.4954
R	1.2335	2.6791	-0.5908	1477010460500000	-0.9500	0.4566	0.7181	0.6959
R	1.6463	1.9249	0.5634	1477010461300000	-0.4560	1.0832	0.5225	0.8526
R	2.0955	1.6398	0.5598	1477010462100000	-0.1334	1.8130	0.2941	0.9558
R	2.8689	1.6217	1.5770	1477010462900000	-0.0024	2.6000	0.0471	0.9989
R	3.6276	1.5632	1.2322	1477010463700000	0.0509	3.3969	0.1720	0.9851
R	4.3351	1.4843	1.0662	1477010464500000	0.2915	4.1576	0.4115	0.9114
R	4.3938	1.4286	0.7802	1477010465300000	0.7137	4.8347	0.6253	0.7804
R	5.5742	1.3830	0.6768	1477010466100000	1.2911	5.3854	0.7997	0.6004
R	5.7836	1.2248	1.1933	1477010466900000	1.9873	5.7753	0.9239	0.3827
R	6.8012	1.1349	0.5863	1477010467700000	2.7585	5.9798	0.9900	0.1409
R	6.9509	1.0453	0.5988	1477010468500000	3.5564	5.9861	0.9940	-0.1098
R	7.2164	0.9329	0.9101	1477010469300000	4.3308	5.7937	0.9354	-0.3535
R	7.1800	0.7712	0.1406	1477010470100000	5.0330	5.4148	0.8181	-0.5750
R	7.0931	0.7028	0.1480	1477010470900000	5.6189	4.8732	0.6494	-0.7604
R	7.4516	0.6439	0.1769	1477010471700000	6.0517	4.2029	0.4399	-0.8980
R	7.4625	0.5375	-0.2383	1477010472500000	6.3042	3.4460	0.2028	-0.9792
R	7.2310	0.3695	-0.3748	1477010473300000	6.3606	2.6501	-0.0471	-0.9989
R	6.4278	0.2920	-0.3217	1477010474100000	6.2172	1.8651	-0.2941	-0.9558
R	5.2517	0.1592	-1.2307	1477010474900000	5.8832	1.1405	-0.5225	-0.8526
R	5.5067	0.1597	-0.6873	1477010475700000	5.3794	0.5218	-0.7181	-0.6959
R	4.3871	0.0186	-1.2808	1477010476500000	4.7376	0.0477	-0.8686	-0.4955
R	4.0722	-0.0323	-1.2846	1477010477300000	3.9980	-0.2518	-0.9646	-0.2639
R	2.7526	-0.0624	-1.0337	1477010478100000	3.2072	-0.3580	-0.9999	-0.0157
R	2.5938	-0.0875	-1.3234	1477010478900000	2.4149	-0.2643	-0.9724	0.2334
R	1.8885	0.0502	-0.7216	1477010479700000	1.6707	0.0236	-0.8838	0.4679
R	1.3720	0.4972	0.2357	1477010480500000	1.0215	0.4875	-0.7396	0.6730
R	1.2323	1.1301	0.4746	1477010481300000	0.5081	1.0983	-0.5490	0.8358
R	1.6568	1.4982	1.5619	1477010482100000	0.1627	1.8176	-0.3239	0.9461
R	2.3223	1.6305	1.1759	1477010482900000	0.0071	2.6002	-0.0785	0.9969
