time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1799	1.34312	5.19691	0.228065	0.204922	radar	4.62713	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4064	1.42603	5.17402	0.251018	0.221675	lidar	1.36083	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6435	1.51634	5.13626	0.278032	0.24631	radar	4.38609	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8726	1.54903	5.11203	0.273125	0.225346	lidar	1.5757	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1349	1.60132	5.12898	0.273811	0.210809	radar	1.66595	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4108	1.64595	5.15246	0.269181	0.190795	lidar	1.69262	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6451	1.70762	5.12584	0.277598	0.191549	radar	1.13613	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8769	1.77243	5.11052	0.285585	0.190006	lidar	0.527528	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1282	1.86177	5.1331	0.300616	0.194801	radar	1.17858	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3722	1.88974	5.11876	0.287336	0.166159	lidar	0.843133	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6249	1.94916	5.13526	0.286506	0.15233	radar	0.967121	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8258	2.08539	5.11078	0.32886	0.196578	lidar	3.49199	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0853	2.18797	5.15545	0.341867	0.195406	radar	3.61274	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.288	2.33057	5.13563	0.382298	0.234294	lidar	2.58523	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4742	2.48455	5.08347	0.432387	0.289915	radar	10.858	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7206	2.59632	5.10093	0.446103	0.288369	lidar	0.718481	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9408	2.71352	5.09019	0.465792	0.296909	radar	0.244471	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1668	2.86355	5.1043	0.495968	0.31534	lidar	0.477952	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.413	2.96729	5.13367	0.493627	0.285153	radar	1.62052	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6231	3.04231	5.09808	0.489537	0.264049	lidar	2.36197	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8505	3.18964	5.12701	0.509485	0.26641	radar	3.92904	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0539	3.37969	5.14124	0.553906	0.304037	lidar	1.13461	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2648	3.54558	5.14343	0.585601	0.327656	radar	2.41804	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.475	3.73001	5.16314	0.619541	0.348263	lidar	0.717786	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.688	3.86355	5.15769	0.628148	0.337223	radar	0.954653	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9089	4.00601	5.16336	0.637565	0.327899	lidar	0.254663	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1055	4.17381	5.1495	0.667529	0.353148	radar	1.7137	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3019	4.36597	5.16557	0.698369	0.368347	lidar	0.420158	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5117	4.5272	5.17534	0.709396	0.357028	radar	0.692367	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6914	4.69805	5.16401	0.731294	0.362487	lidar	0.423636	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8446	4.90466	5.13199	0.785875	0.427232	radar	4.7547	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0094	5.12512	5.14738	0.824508	0.447187	lidar	0.487272	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1786	5.30457	5.13148	0.847773	0.4544	radar	1.86174	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3412	5.48575	5.11838	0.867454	0.451559	lidar	0.27126	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4957	5.66873	5.09447	0.893702	0.464996	radar	3.53844	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6948	5.79419	5.06386	0.880381	0.423546	lidar	2.37186	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8336	6.005	5.05033	0.921316	0.460076	radar	1.40188	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.012	6.18682	5.05135	0.929156	0.442068	lidar	0.752779	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1575	6.40041	5.05633	0.956401	0.449487	radar	0.572318	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2814	6.62817	5.06153	0.990853	0.463306	lidar	0.321349	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4095	6.84884	5.06032	1.02206	0.477365	radar	0.244726	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5627	6.9917	5.00786	1.01759	0.447286	lidar	3.14526	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7093	7.2004	5.01758	1.02728	0.424633	radar	0.484728	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9112	7.33794	4.98581	1.00283	0.37318	lidar	4.7826	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9933	7.55947	4.95625	1.0532	0.428413	radar	4.61727	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0876	7.8051	4.97042	1.09091	0.446709	lidar	0.590236	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.205	8.0193	4.96718	1.10834	0.439408	radar	0.369181	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2871	8.2301	4.9431	1.13656	0.447887	lidar	1.76408	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3832	8.44725	4.93694	1.15408	0.435663	radar	2.46469	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4814	8.60254	4.86789	1.15997	0.421062	lidar	5.6032	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5669	8.8224	4.85661	1.18784	0.435587	radar	0.813538	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7337	8.98967	4.82958	1.1687	0.390177	lidar	4.88356	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8005	9.22179	4.82215	1.20782	0.424781	radar	1.05729	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9363	9.43124	4.82471	1.20612	0.398411	lidar	2.70549	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9742	9.66638	4.8075	1.25854	0.455487	radar	2.96417	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0665	9.89077	4.80948	1.27234	0.445153	lidar	0.462264	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1241	10.1385	4.82689	1.29729	0.441201	radar	6.71336	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.176	10.3925	4.84554	1.32686	0.448748	lidar	0.338852	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1879	10.6347	4.8343	1.37819	0.497323	radar	3.01894	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2503	10.8907	4.85828	1.39819	0.490541	lidar	1.49149	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2788	11.1437	4.87157	1.42541	0.488362	radar	4.73398	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3143	11.3776	4.86449	1.44767	0.486391	lidar	0.0480076	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2565	11.6304	4.85253	1.52904	0.583255	radar	10.7368	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3301	11.8659	4.85457	1.53125	0.553397	lidar	4.66718	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3558	12.1011	4.85388	1.5342	0.501931	radar	3.78439	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3465	12.3731	4.88428	1.56725	0.508552	lidar	0.871943	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2947	12.6143	4.87358	1.62848	0.573249	radar	3.2549	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3199	12.8526	4.87002	1.64026	0.555179	lidar	1.81093	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3054	13.0876	4.86145	1.66793	0.559387	radar	2.14556	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2687	13.3049	4.8358	1.69914	0.564668	lidar	1.24679	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2289	13.5412	4.83363	1.72529	0.556117	radar	1.33745	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.211	13.7925	4.84605	1.74439	0.545912	lidar	1.16349	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1532	14.0228	4.83874	1.78218	0.566277	radar	0.891423	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1006	14.2708	4.85184	1.80964	0.564463	lidar	0.252195	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.028	14.5006	4.8486	1.84111	0.565965	radar	1.41601	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9232	14.7459	4.86945	1.88262	0.578609	lidar	1.17959	19.781	14.773	19.934	14.6897	-1.30687	4.62805
